#      Train        Test
    0.589625     0.722892 
    0.763112     0.864028 
    0.880692     0.889845 
    0.917003     0.893287 
    0.926225     0.889845 
    0.938329     0.895009 
    0.948703     0.898451 
    0.959078     0.903614 
    0.969452     0.898451 
    0.968876     0.910499 
    0.980403      0.91222 
    0.977522      0.91222 
    0.990202     0.920826 
    0.990778     0.910499 
    0.991354      0.91222 
    0.994236     0.922547 
    0.994813     0.922547 
    0.996542     0.922547 
    0.998847     0.927711 
    0.997695     0.919105 
    0.997695     0.917384 
    0.998847     0.931153 
           1     0.931153 
    0.998271     0.927711 
           1     0.922547 
    0.999424     0.927711 
           1     0.934596 
           1      0.92599 
    0.999424     0.932874 
           1     0.932874 
           1     0.922547 
           1     0.936317 
           1     0.932874 
           1     0.924269 
           1     0.922547 
    0.999424     0.920826 
           1     0.919105 
           1     0.920826 
           1     0.924269 
           1      0.92599 
           1     0.919105 
           1     0.920826 
           1     0.924269 
           1     0.915663 
           1     0.924269 
           1     0.924269 
           1     0.917384 
           1     0.910499 
           1     0.905336 
           1     0.915663 
