#      Train        Test
     13.1122      6.99427 
     4.90944      3.21594 
     2.86646      2.79407 
     2.35147      2.59186 
     2.09965      2.63558 
       1.924       2.5666 
     1.73939      2.44398 
     1.59291      2.42711 
     1.42576      2.34634 
     1.32479      2.28687 
     1.14715        2.192 
     1.09663      2.18974 
    0.982161      2.11536 
     0.93246      2.26454 
    0.886301      2.20199 
    0.812036      2.14124 
    0.755292      2.10462 
     0.73202      2.05149 
    0.682287      2.03748 
    0.661575      2.17101 
    0.661449      2.11481 
     0.61611       2.0486 
    0.573715      2.06772 
    0.588646       2.1057 
    0.544894      2.12075 
    0.499594      2.10322 
    0.466458      1.95526 
    0.493966      1.99838 
    0.470823      1.99724 
    0.467883      1.94394 
    0.436007      2.10861 
    0.405145      1.96138 
    0.430228      1.98218 
    0.416995      2.03768 
    0.419586      2.07294 
    0.432358      2.09081 
    0.409232      2.07622 
     0.39174      2.16394 
    0.418334      2.06747 
    0.391278      2.20412 
     0.39377      2.18004 
    0.387548      2.07717 
    0.352481      2.14673 
    0.380689      2.15827 
    0.352798      2.07619 
    0.372819      2.06141 
    0.336827      2.31171 
    0.346838      2.45462 
    0.328894      2.44355 
    0.354771      2.46826 
